timestamp,agent.name,rule.description,rule.level,rule.id
"May 24, 2025 @ 01:05:39.444","DESKTOP-O7P9I53","Sysmon - Event 3: Network connection to 52.123.129.14:443 by C:\\Users\\admin\\AppData\\Local\\Microsoft\\OneDrive\\OneDriveStandaloneUpdater.exe","5","61605"
"May 24, 2025 @ 01:05:39.438","DESKTOP-O7P9I53","Sysmon - Event 22: DNS Query event","5","61650"
"May 24, 2025 @ 01:05:38.445","DESKTOP-O7P9I53","Sysmon - Event 22: DNS Query event","5","61650"
"May 24, 2025 @ 01:05:31.460","DESKTOP-O7P9I53","Service startup type was changed","3","61104"
"May 24, 2025 @ 01:05:31.060","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"May 24, 2025 @ 01:05:30.645","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Standalone Updater","5","61603"
"May 24, 2025 @ 01:05:01.620","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 01:05:01.580","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 01:04:35.207","RHEL7","Sample alert 3","13","3585"
"May 24, 2025 @ 01:04:27.911","DESKTOP-O7P9I53","Sysmon - Event 22: DNS Query event","5","61650"
"May 24, 2025 @ 01:04:01.614","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 01:04:01.571","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 01:03:01.623","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 01:03:01.580","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 01:02:46.839","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"May 24, 2025 @ 01:02:46.555","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Host Process for Windows Tasks","5","61603"
"May 24, 2025 @ 01:02:01.596","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 01:02:01.590","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 01:02:00.391","RHEL7","Docker: Container nginx_container received the action: kill","7","87924"
"May 24, 2025 @ 01:01:22.228","RHEL7","sshd: Possible breakin attempt (high number of reverse lookup errors).","10","5703"
"May 24, 2025 @ 01:01:01.550","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 01:01:01.549","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 01:00:01.589","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 01:00:01.548","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 00:59:43.403","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Host Process for Windows Tasks","5","61603"
"May 24, 2025 @ 00:59:01.583","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 00:59:01.542","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 00:58:50.287","DESKTOP-O7P9I53","Name resolution for the name wpad timed out","5","61109"
"May 24, 2025 @ 00:58:12.778","RHEL7","Sample alert 1","1","1054"
"May 24, 2025 @ 00:58:01.513","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 00:58:01.512","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 24, 2025 @ 00:57:01.534","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 24, 2025 @ 00:57:01.494","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
